Title,Author,Link,ISBN
N.K. Jemisin on the Timeless Power of Fantasy,[],https://time.com/collection/100-best-fantasy-books/5898000/nk-jemisin-fantasy-novels/,[]
The Arabian Nights,[],https://time.com/collection/100-best-fantasy-books/5898459/the-arabian-nights/,0393331660
Le Morte d’Arthur,Thomas Malory,https://time.com/collection/100-best-fantasy-books/5897156/le-morte-darthur/,[]
Alice’s Adventures in Wonderland,Lewis Carroll,https://time.com/collection/100-best-fantasy-books/5897157/alices-adventures-in-wonderland/,[]
Through the Looking-Glass,Lewis Carroll,https://time.com/collection/100-best-fantasy-books/5897158/through-the-looking-glass/,1949460894
Five Children and It,E. Nesbit,https://time.com/collection/100-best-fantasy-books/5897159/five-children-and-it/,014132161X
Ozma of Oz,L. Frank Baum,https://time.com/collection/100-best-fantasy-books/5898430/ozma-of-oz/,195043544X
Mary Poppins,P.L. Travers,https://time.com/collection/100-best-fantasy-books/5898431/mary-poppins/,0544456831
"The Lion, the Witch and the Wardrobe",C.S. Lewis,https://time.com/collection/100-best-fantasy-books/5898432/the-lion-the-witch-and-the-wardrobe/,[]
The Palm-Wine Drinkard,Amos Tutuola,https://time.com/collection/100-best-fantasy-books/5898433/the-palm-wine-drinkard/,0802133630
The Voyage of the Dawn Treader,C.S. Lewis,https://time.com/collection/100-best-fantasy-books/5898435/voyage-of-the-dawn-treader/,0064405028
The Fellowship of the Ring,J.R.R. Tolkien,https://time.com/collection/100-best-fantasy-books/5898436/fellowship-of-the-ring/,0358380235
My Life in the Bush of Ghosts,Amos Tutuola,https://time.com/collection/100-best-fantasy-books/5898437/my-life-in-the-bush-of-ghosts/,0571316913
The Two Towers,J.R.R. Tolkien,https://time.com/collection/100-best-fantasy-books/5898438/the-two-towers/,0358380243
The Return of the King,J.R.R. Tolkien,https://time.com/collection/100-best-fantasy-books/5898439/the-return-of-the-king/,054792819X
A Hero Born,Jin Yong,https://time.com/collection/100-best-fantasy-books/5898440/a-hero-born/,1250220629
The Once & Future King,T.H. White,https://time.com/collection/100-best-fantasy-books/5898441/the-once-and-future-king/,078525174X
James and the Giant Peach,Roald Dahl,https://time.com/collection/100-best-fantasy-books/5898442/james-and-the-giant-peach/,0142410365
The Phantom Tollbooth,Norton Juster,https://time.com/collection/100-best-fantasy-books/5898443/the-phantom-tollbooth/,0394815009
A Wrinkle in Time,Madeleine L’Engle,https://time.com/collection/100-best-fantasy-books/5898444/a-wrinkle-in-time/,0312367546
The Wandering Unicorn,Manuel Mujica Lainez,https://time.com/collection/100-best-fantasy-books/5898445/the-wandering-unicorn/,[]
Dragonflight,Anne McCaffrey,https://time.com/collection/100-best-fantasy-books/5898446/dragonflight/,0345335465
The Last Unicorn,Peter S. Beagle,https://time.com/collection/100-best-fantasy-books/5898447/the-last-unicorn/,0451450523
A Wizard of Earthsea,Ursula K. Le Guin,https://time.com/collection/100-best-fantasy-books/5898448/a-wizard-of-earthsea/,0547722028
The Crystal Cave,Mary Stewart,https://time.com/collection/100-best-fantasy-books/5898449/the-crystal-cave/,0060548258
The Tombs of Atuan,Ursula K. Le Guin,https://time.com/collection/100-best-fantasy-books/5898450/the-tombs-of-atuan/,1442459913
Watership Down,Richard Adams,https://time.com/collection/100-best-fantasy-books/5898451/watership-down/,0743277708
The Dark Is Rising,Susan Cooper,https://time.com/collection/100-best-fantasy-books/5898452/the-dark-is-rising/,1442489677
The Princess Bride,William Goldman,https://time.com/collection/100-best-fantasy-books/5898453/the-princess-bride/,0156035154
Tuck Everlasting,Natalie Babbitt,https://time.com/collection/100-best-fantasy-books/5898454/tuck-everlasting/,0312369816
A Swiftly Tilting Planet,Madeleine L’Engle,https://time.com/collection/100-best-fantasy-books/5898455/a-swiftly-tilting-planet/,0312368569
The Bloody Chamber,Angela Carter,https://time.com/collection/100-best-fantasy-books/5898456/the-bloody-chamber/,0143107615
The BFG,Roald Dahl,https://time.com/collection/100-best-fantasy-books/5898457/the-bfg/,0142410381
Alanna: The First Adventure,Tamora Pierce,https://time.com/collection/100-best-fantasy-books/5898458/alanna-the-first-adventure/,1442426411
Howl’s Moving Castle,Diana Wynne Jones,https://time.com/collection/100-best-fantasy-books/5898460/howls-moving-castle/,[]
Redwall,Brian Jacques,https://time.com/collection/100-best-fantasy-books/5898461/redwall/,0142302376
Swordspoint,Ellen Kushner,https://time.com/collection/100-best-fantasy-books/5898462/swordspoint/,0553585495
The Lives of Christopher Chant,Diana Wynne Jones,https://time.com/collection/100-best-fantasy-books/5898463/the-lives-of-christopher-chant/,0007278209
The Eye of the World,Robert Jordan,https://time.com/collection/100-best-fantasy-books/5898464/the-eye-of-the-world/,9798670688581
Good Omens,Terry Pratchett and Neil Gaiman,https://time.com/collection/100-best-fantasy-books/5898465/good-omens/,0060853980
Haroun and the Sea of Stories,Salman Rushdie,https://time.com/collection/100-best-fantasy-books/5898467/haroun-and-the-sea-of-stories/,0140157379
Outlander,Diana Gabaldon,https://time.com/collection/100-best-fantasy-books/5898469/outlander/,0385319959
Tigana,Guy Gavriel Kay,https://time.com/collection/100-best-fantasy-books/5898468/tigana/,0451457765
The Golden Compass,Philip Pullman,https://time.com/collection/100-best-fantasy-books/5898470/the-golden-compass/,0440418321
Neverwhere,Neil Gaiman,https://time.com/collection/100-best-fantasy-books/5898471/neverwhere/,0062821334
Ella Enchanted,Gail Carson Levine,https://time.com/collection/100-best-fantasy-books/5898472/ella-enchanted/,0064407055
The Subtle Knife,Philip Pullman,https://time.com/collection/100-best-fantasy-books/5898473/the-subtle-knife/,044041833X
Brown Girl in the Ring,Nalo Hopkinson,https://time.com/collection/100-best-fantasy-books/5898475/brown-girl-in-the-ring/,0446674338
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,https://time.com/collection/100-best-fantasy-books/5898476/harry-potter-and-the-prisoner-of-azkaban/,0439136369
Spindle’s End,Robin McKinley,https://time.com/collection/100-best-fantasy-books/5898477/spindles-end/,[]
A Storm of Swords,George R.R. Martin,https://time.com/collection/100-best-fantasy-books/5898481/a-storm-of-swords/,0553381709
American Gods,Neil Gaiman,https://time.com/collection/100-best-fantasy-books/5898482/american-gods/,0062059882
The Wee Free Men,Terry Pratchett,https://time.com/collection/100-best-fantasy-books/5898483/the-wee-free-men/,0062435264
Harry Potter and the Half-Blood Prince,J.K. Rowling,https://time.com/collection/100-best-fantasy-books/5898484/harry-potter-and-the-half-blood-prince/,0439785960
Mistborn: The Final Empire,Brandon Sanderson,https://time.com/collection/100-best-fantasy-books/5898485/mistborn-the-final-empire/,1250318548
The Name of the Wind,Patrick Rothfuss,https://time.com/collection/100-best-fantasy-books/5898486/the-name-of-the-wind/,0756404746
City of Glass,Cassandra Clare,https://time.com/collection/100-best-fantasy-books/5898487/city-of-glass/,1481455982
Where the Mountain Meets the Moon,Grace Lin,https://time.com/collection/100-best-fantasy-books/5898488/where-the-mountain-meets-the-moon/,0316038636
The Hundred Thousand Kingdoms,N.K. Jemisin,https://time.com/collection/100-best-fantasy-books/5898489/the-hundred-thousand-kingdoms/,0316043915
Who Fears Death,Nnedi Okorafor,https://time.com/collection/100-best-fantasy-books/5898490/who-fears-death/,0756407281
Akata Witch,Nnedi Okorafor,https://time.com/collection/100-best-fantasy-books/5898517/akata-witch/,0142420913
The Night Circus,Erin Morgenstern,https://time.com/collection/100-best-fantasy-books/5898516/the-night-circus/,0307744434
The Song of Achilles,Madeline Miller,https://time.com/collection/100-best-fantasy-books/5898492/the-song-of-achilles/,1095041177
Angelfall,Susan Ee,https://time.com/collection/100-best-fantasy-books/5898491/angelfall/,0761463275
A Stranger in Olondria,Sofia Samatar,https://time.com/collection/100-best-fantasy-books/5898493/a-stranger-in-olondria/,1931520763
The Bone Clocks,David Mitchell,https://time.com/collection/100-best-fantasy-books/5898494/the-bone-clocks/,0812976827
The Buried Giant,Kazuo Ishiguro,https://time.com/collection/100-best-fantasy-books/5898495/the-buried-giant/,0307455793
An Ember in the Ashes,Sabaa Tahir,https://time.com/collection/100-best-fantasy-books/5898497/an-ember-in-the-ashes/,1595148043
The Fifth Season,N.K. Jemisin,https://time.com/collection/100-best-fantasy-books/5898499/the-fifth-season/,0316229296
Get in Trouble,Kelly Link,https://time.com/collection/100-best-fantasy-books/5898500/get-in-trouble/,0812986490
The Grace of Kings,Ken Liu,https://time.com/collection/100-best-fantasy-books/5898502/the-grace-of-kings/,1481424289
Shadowshaper,Daniel José Older,https://time.com/collection/100-best-fantasy-books/5898503/shadowshaper/,133803247X
Six of Crows,Leigh Bardugo,https://time.com/collection/100-best-fantasy-books/5898504/six-of-crows/,1250211107
The Wrath & the Dawn,Renée Ahdieh,https://time.com/collection/100-best-fantasy-books/5898505/the-wrath-and-the-dawn/,1984803549
All the Birds in the Sky,Charlie Jane Anders,https://time.com/collection/100-best-fantasy-books/5898506/all-the-birds-in-the-sky/,0765379953
A Torch Against the Night,Sabaa Tahir,https://time.com/collection/100-best-fantasy-books/5898507/a-torch-against-the-night/,1101998881
The Wall of Storms,Ken Liu,https://time.com/collection/100-best-fantasy-books/5898508/the-wall-of-storms/,1481424319
Beasts Made of Night,Tochi Onyebuchi,https://time.com/collection/100-best-fantasy-books/5898520/beasts-made-of-night/,0448493918
The Black Tides of Heaven,Neon Yang,https://time.com/collection/100-best-fantasy-books/5898509/the-black-tides-of-heaven/,076539541X
The Changeling,Victor LaValle,https://time.com/collection/100-best-fantasy-books/5898512/the-changeling/,0812985877
Jade City,Fonda Lee,https://time.com/collection/100-best-fantasy-books/5898513/jade-city/,0316440884
The Stone Sky,N.K. Jemisin,https://time.com/collection/100-best-fantasy-books/5898518/the-stone-sky/,0316229245
Aru Shah and the End of Time,Roshani Chokshi,https://time.com/collection/100-best-fantasy-books/5898519/aru-shah-and-the-end-of-time/,1368023568
Blanca & Roja,Anna-Marie McLemore,https://time.com/collection/100-best-fantasy-books/5898521/blanca-and-roja/,0062947176
Children of Blood and Bone,Tomi Adeyemi,https://time.com/collection/100-best-fantasy-books/5898522/children-of-blood-and-bone/,1250170974
Circe,Madeline Miller,https://time.com/collection/100-best-fantasy-books/5898523/circe/,0316556327
Empire of Sand,Tasha Suri,https://time.com/collection/100-best-fantasy-books/5898524/empire-of-sand/,0316449717
The Poppy War,R.F. Kuang,https://time.com/collection/100-best-fantasy-books/5898525/the-poppy-war/,0062662589
Song of Blood & Stone,L. Penelope,https://time.com/collection/100-best-fantasy-books/5898526/song-of-blood-and-stone/,0425281590
Trail of Lightning,Rebecca Roanhorse,https://time.com/collection/100-best-fantasy-books/5898527/trail-of-lightning/,1534413537
Witchmark,C.L. Polk,https://time.com/collection/100-best-fantasy-books/5898528/witchmark/,[]
"Black Leopard, Red Wolf",Marlon James,https://time.com/collection/100-best-fantasy-books/5898529/black-leopard-red-wolf-marlon-james/,[]
Children of Virtue and Vengeance,Tomi Adeyemi,https://time.com/collection/100-best-fantasy-books/5898530/children-of-virtue-and-vengeance/,1250170990
The Dragon Republic,R.F. Kuang,https://time.com/collection/100-best-fantasy-books/5898531/the-dragon-republic/,0062662600
Gods of Jade and Shadow,Silvia Moreno-Garcia,https://time.com/collection/100-best-fantasy-books/5898532/gods-of-jade-and-shadow/,052562077X
Pet,Akwaeke Emezi,https://time.com/collection/100-best-fantasy-books/5898533/pet/,0593521536
Queen of the Conquered,Kacen Callender,https://time.com/collection/100-best-fantasy-books/5898534/queen-of-the-conquered/,0316454931
The Rage of Dragons,Evan Winter,https://time.com/collection/100-best-fantasy-books/5898535/the-rage-of-dragons/,0316489778
We Hunt the Flame,Hafsah Faizal,https://time.com/collection/100-best-fantasy-books/5898536/we-hunt-the-flame/,125025079X
Elatsoe,Darcie Little Badger,https://time.com/collection/100-best-fantasy-books/5898537/elatsoe/,1646140052
Woven in Moonlight,Isabel Ibañez,https://time.com/collection/100-best-fantasy-books/5898540/woven-in-moonlight/,1645672050
